English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Tue 26 Jan 2016 15:03:54
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00083,0,2,Velocidad 1
0.00167,-0.001,1,Velocidad 1
0.0025,0.001,1,Velocidad 1
0.00333,-0.001,-1,Velocidad 1
0.00417,0.001,0,Velocidad 1
0.005,0,3,Velocidad 1
0.00583,0.003,7,Velocidad 1
0.00667,0.003,15,Velocidad 1
0.0075,0.005,23,Velocidad 1
0.00833,0.004,31,Velocidad 1
0.00917,0.004,37,Velocidad 1
0.01,0.005,45,Velocidad 1
0.01083,0.005,54,Velocidad 1
0.01167,0.006,61,Velocidad 1
0.0125,0.004,70,Velocidad 1
0.01333,0.005,79,Velocidad 1
0.01417,0.007,89,Velocidad 1
0.015,0.007,97,Velocidad 1
0.01583,0.008,106,Velocidad 1
0.01667,0.009,116,Velocidad 1
0.0175,0.008,127,Velocidad 1
0.01833,0.01,137,Velocidad 1
0.01917,0.008,146,Velocidad 1
0.02,0.011,154,Velocidad 1
0.02083,0.011,162,Velocidad 1
0.02167,0.01,171,Velocidad 1
0.0225,0.01,181,Velocidad 1
0.02333,0.011,189,Velocidad 1
0.02417,0.014,196,Velocidad 1
0.025,0.012,203,Velocidad 1
0.02583,0.011,211,Velocidad 1
0.02667,0.015,220,Velocidad 1
0.0275,0.014,229,Velocidad 1
0.02833,0.013,235,Velocidad 1
0.02917,0.013,243,Velocidad 1
0.03,0.015,252,Velocidad 1
0.03083,0.017,261,Velocidad 1
0.03167,0.016,268,Velocidad 1
0.0325,0.015,277,Velocidad 1
0.03333,0.017,287,Velocidad 1
0.03417,0.017,293,Velocidad 1
0.035,0.016,299,Velocidad 1
0.03583,0.018,306,Velocidad 1
0.03667,0.019,314,Velocidad 1
0.0375,0.02,323,Velocidad 1
0.03833,0.018,331,Velocidad 1
0.03917,0.018,338,Velocidad 1
0.04,0.022,346,Velocidad 1
0.04083,0.022,356,Velocidad 1
0.04167,0.019,362,Velocidad 1
0.0425,0.022,367,Velocidad 1
0.04333,0.021,375,Velocidad 1
0.04417,0.024,385,Velocidad 1
0.045,0.023,395,Velocidad 1
0.04583,0.022,403,Velocidad 1
0.04667,0.024,412,Velocidad 1
0.0475,0.024,420,Velocidad 1
0.04833,0.023,429,Velocidad 1
0.04917,0.025,436,Velocidad 1
0.05,0.025,442,Velocidad 1
0.05083,0.026,448,Velocidad 1
0.05167,0.027,457,Velocidad 1
0.0525,0.024,468,Velocidad 1
0.05333,0.027,475,Velocidad 1
0.05417,0.025,481,Velocidad 1
0.055,0.029,489,Velocidad 1
0.05583,0.026,498,Velocidad 1
0.05667,0.03,506,Velocidad 1
0.0575,0.029,517,Velocidad 1
0.05833,0.03,526,Velocidad 1
0.05917,0.03,534,Velocidad 1
0.06,0.031,540,Velocidad 1
0.06083,0.032,545,Velocidad 1
0.06167,0.031,552,Velocidad 1
0.0625,0.03,560,Velocidad 1
0.06333,0.032,569,Velocidad 1
0.06417,0.033,577,Velocidad 1
0.065,0.032,583,Velocidad 1
0.06583,0.033,588,Velocidad 1
0.06667,0.034,594,Velocidad 1
0.0675,0.034,602,Velocidad 1
0.06833,0.034,610,Velocidad 1
0.06917,0.033,617,Velocidad 1
0.07,0.034,621,Velocidad 1
0.07083,0.036,629,Velocidad 1
0.07167,0.034,637,Velocidad 1
0.0725,0.037,643,Velocidad 1
0.07333,0.037,650,Velocidad 1
0.07417,0.038,656,Velocidad 1
0.075,0.036,664,Velocidad 1
0.07583,0.037,672,Velocidad 1
0.07667,0.038,679,Velocidad 1
0.0775,0.039,688,Velocidad 1
0.07833,0.039,695,Velocidad 1
0.07917,0.038,702,Velocidad 1
0.08,0.041,712,Velocidad 1
0.08083,0.039,719,Velocidad 1
0.08167,0.043,725,Velocidad 1
0.0825,0.04,733,Velocidad 1
0.08333,0.043,744,Velocidad 1
0.08417,0.043,756,Velocidad 1
0.085,0.044,763,Velocidad 1
0.08583,0.044,769,Velocidad 1
0.08667,0.044,778,Velocidad 1
0.0875,0.044,784,Velocidad 1
0.08833,0.043,790,Velocidad 1
0.08917,0.044,796,Velocidad 1
0.09,0.044,805,Velocidad 1
0.09083,0.047,811,Velocidad 1
0.09167,0.047,815,Velocidad 1
0.0925,0.045,820,Velocidad 1
0.09333,0.046,827,Velocidad 1
0.09417,0.047,834,Velocidad 1
0.095,0.048,842,Velocidad 1
0.09583,0.047,849,Velocidad 1
0.09667,0.05,859,Velocidad 1
0.0975,0.048,867,Velocidad 1
0.09833,0.05,874,Velocidad 1
0.09917,0.049,883,Velocidad 1
0.1,0.049,891,Velocidad 1
0.10083,0.05,898,Velocidad 1
0.10167,0.051,905,Velocidad 1
0.1025,0.049,912,Velocidad 1
0.10333,0.053,918,Velocidad 1
0.10417,0.054,924,Velocidad 1
0.105,0.053,932,Velocidad 1
0.10583,0.054,940,Velocidad 1
0.10667,0.052,946,Velocidad 1
0.1075,0.052,951,Velocidad 1
0.10833,0.053,956,Velocidad 1
0.10917,0.055,961,Velocidad 1
0.11,0.056,966,Velocidad 1
0.11083,0.056,974,Velocidad 1
0.11167,0.056,981,Velocidad 1
0.1125,0.057,988,Velocidad 1
0.11333,0.056,998,Velocidad 1
0.11417,0.058,1006,Velocidad 1
0.115,0.057,1014,Velocidad 1
0.11583,0.057,1023,Velocidad 1
0.11667,0.059,1030,Velocidad 1
0.1175,0.06,1037,Velocidad 1
0.11833,0.06,1044,Velocidad 1
0.11917,0.06,1052,Velocidad 1
0.12,0.06,1058,Velocidad 1
0.12083,0.059,1067,Velocidad 1
0.12167,0.06,1074,Velocidad 1
0.1225,0.062,1079,Velocidad 1
0.12333,0.062,1084,Velocidad 1
0.12417,0.061,1089,Velocidad 1
0.125,0.063,1096,Velocidad 1
0.12583,0.062,1103,Velocidad 1
0.12667,0.064,1111,Velocidad 1
0.1275,0.064,1117,Velocidad 1
0.12833,0.065,1121,Velocidad 1
0.12917,0.065,1127,Velocidad 1
0.13,0.064,1136,Velocidad 1
0.13083,0.065,1146,Velocidad 1
0.13167,0.068,1153,Velocidad 1
0.1325,0.065,1161,Velocidad 1
0.13333,0.066,1167,Velocidad 1
0.13417,0.066,1173,Velocidad 1
0.135,0.067,1180,Velocidad 1
0.13583,0.069,1186,Velocidad 1
0.13667,0.069,1195,Velocidad 1
0.1375,0.07,1203,Velocidad 1
0.13833,0.07,1208,Velocidad 1
0.13917,0.071,1215,Velocidad 1
0.14,0.071,1220,Velocidad 1
0.14083,0.07,1228,Velocidad 1
0.14167,0.072,1238,Velocidad 1
0.1425,0.07,1246,Velocidad 1
0.14333,0.07,1253,Velocidad 1
0.14417,0.071,1259,Velocidad 1
0.145,0.072,1266,Velocidad 1
0.14583,0.074,1274,Velocidad 1
0.14667,0.074,1280,Velocidad 1
0.1475,0.074,1284,Velocidad 1
0.14833,0.074,1289,Velocidad 1
0.14917,0.076,1297,Velocidad 1
0.15,0.074,1305,Velocidad 1
0.15083,0.076,1312,Velocidad 1
0.15167,0.076,1319,Velocidad 1
0.1525,0.077,1326,Velocidad 1
0.15333,0.075,1332,Velocidad 1
0.15417,0.076,1338,Velocidad 1
0.155,0.077,1345,Velocidad 1
0.15583,0.079,1352,Velocidad 1
0.15667,0.079,1357,Velocidad 1
0.1575,0.077,1360,Velocidad 1
0.15833,0.08,1364,Velocidad 1
0.15917,0.08,1371,Velocidad 1
0.16,0.079,1378,Velocidad 1
0.16083,0.081,1386,Velocidad 1
0.16167,0.082,1394,Velocidad 1
0.1625,0.08,1401,Velocidad 1
0.16333,0.083,1408,Velocidad 1
0.16417,0.081,1417,Velocidad 1
0.165,0.082,1424,Velocidad 1
0.16583,0.082,1430,Velocidad 1
0.16667,0.084,1437,Velocidad 1
0.1675,0.082,1443,Velocidad 1
0.16833,0.084,1449,Velocidad 1
0.16917,0.085,1458,Velocidad 1
0.17,0.084,1466,Velocidad 1
0.17083,0.085,1474,Velocidad 1
0.17167,0.084,1482,Velocidad 1
0.1725,0.087,1489,Velocidad 1
0.17333,0.087,1496,Velocidad 1
0.17417,0.086,1500,Velocidad 1
0.175,0.088,1505,Velocidad 1
0.17583,0.089,1512,Velocidad 1
0.17667,0.089,1518,Velocidad 1
0.1775,0.087,1525,Velocidad 1
0.17833,0.088,1532,Velocidad 1
0.17917,0.091,1541,Velocidad 1
0.18,0.091,1551,Velocidad 1
0.18083,0.089,1557,Velocidad 1
0.18167,0.092,1560,Velocidad 1
0.1825,0.092,1568,Velocidad 1
0.18333,0.093,1578,Velocidad 1
0.18417,0.093,1584,Velocidad 1
0.185,0.091,1587,Velocidad 1
0.18583,0.094,1591,Velocidad 1
0.18667,0.095,1599,Velocidad 1
0.1875,0.093,1610,Velocidad 1
0.18833,0.093,1615,Velocidad 1
0.18917,0.095,1620,Velocidad 1
0.19,0.094,1627,Velocidad 1
0.19083,0.095,1633,Velocidad 1
0.19167,0.097,1639,Velocidad 1
0.1925,0.097,1645,Velocidad 1
0.19333,0.097,1650,Velocidad 1
0.19417,0.098,1654,Velocidad 1
0.195,0.098,1659,Velocidad 1
0.19583,0.097,1665,Velocidad 1
0.19667,0.099,1671,Velocidad 1
0.1975,0.099,1677,Velocidad 1
0.19833,0.099,1683,Velocidad 1
0.19917,0.1,1688,Velocidad 1
0.2,0.099,1696,Velocidad 1
0.20083,0.101,1703,Velocidad 1
0.20167,0.1,1711,Velocidad 1
0.2025,0.1,1720,Velocidad 1
0.20333,0.102,1727,Velocidad 1
0.20417,0.101,1733,Velocidad 1
0.205,0.104,1740,Velocidad 1
0.20583,0.103,1746,Velocidad 1
0.20667,0.102,1751,Velocidad 1
0.2075,0.105,1758,Velocidad 1
0.20833,0.104,1768,Velocidad 1
0.20917,0.104,1775,Velocidad 1
0.21,0.106,1781,Velocidad 1
0.21083,0.106,1787,Velocidad 1
0.21167,0.107,1791,Velocidad 1
0.2125,0.104,1796,Velocidad 1
0.21333,0.108,1801,Velocidad 1
0.21417,0.108,1808,Velocidad 1
0.215,0.107,1812,Velocidad 1
0.21583,0.107,1819,Velocidad 1
0.21667,0.11,1828,Velocidad 1
0.2175,0.107,1833,Velocidad 1
0.21833,0.107,1839,Velocidad 1
0.21917,0.109,1847,Velocidad 1
0.22,0.109,1856,Velocidad 1
0.22083,0.112,1861,Velocidad 1
0.22167,0.11,1866,Velocidad 1
0.2225,0.111,1873,Velocidad 1
0.22333,0.113,1880,Velocidad 1
0.22417,0.113,1886,Velocidad 1
0.225,0.111,1890,Velocidad 1
0.22583,0.112,1898,Velocidad 1
0.22667,0.114,1906,Velocidad 1
0.2275,0.113,1911,Velocidad 1
0.22833,0.113,1915,Velocidad 1
0.22917,0.114,1920,Velocidad 1
0.23,0.115,1925,Velocidad 1
0.23083,0.116,1928,Velocidad 1
0.23167,0.114,1934,Velocidad 1
0.2325,0.116,1941,Velocidad 1
0.23333,0.118,1949,Velocidad 1
0.23417,0.118,1956,Velocidad 1
0.235,0.118,1962,Velocidad 1
0.23583,0.117,1967,Velocidad 1
0.23667,0.119,1973,Velocidad 1
0.2375,0.12,1979,Velocidad 1
0.23833,0.12,1985,Velocidad 1
0.23917,0.12,1991,Velocidad 1
0.24,0.121,1999,Velocidad 1
0.24083,0.121,2006,Velocidad 1
0.24167,0.121,2012,Velocidad 1
0.2425,0.12,2018,Velocidad 1
0.24333,0.121,2028,Velocidad 1
0.24417,0.123,2035,Velocidad 1
0.245,0.123,2041,Velocidad 1
0.24583,0.124,2048,Velocidad 1
0.24667,0.124,2056,Velocidad 1
0.2475,0.123,2061,Velocidad 1
0.24833,0.125,2066,Velocidad 1
0.24917,0.123,2072,Velocidad 1
0.25,0.124,2079,Velocidad 1
0.25083,0.125,2087,Velocidad 1
0.25167,0.126,2092,Velocidad 1
0.2525,0.127,2095,Velocidad 1
0.25333,0.125,2099,Velocidad 1
0.25417,0.128,2103,Velocidad 1
0.255,0.13,2109,Velocidad 1
0.25583,0.127,2115,Velocidad 1
0.25667,0.129,2121,Velocidad 1
0.2575,0.131,2129,Velocidad 1
0.25833,0.129,2133,Velocidad 1
0.25917,0.13,2135,Velocidad 1
0.26,0.13,2138,Velocidad 1
0.26083,0.131,2143,Velocidad 1
0.26167,0.132,2149,Velocidad 1
0.2625,0.133,2155,Velocidad 1
0.26333,0.132,2160,Velocidad 1
0.26417,0.132,2165,Velocidad 1
0.265,0.133,2170,Velocidad 1
0.26583,0.133,2177,Velocidad 1
0.26667,0.132,2184,Velocidad 1
0.2675,0.133,2191,Velocidad 1
0.26833,0.135,2197,Velocidad 1
0.26917,0.134,2206,Velocidad 1
0.27,0.134,2215,Velocidad 1
0.27083,0.136,2222,Velocidad 1
0.27167,0.136,2228,Velocidad 1
0.2725,0.138,2234,Velocidad 1
0.27333,0.135,2242,Velocidad 1
0.27417,0.136,2246,Velocidad 1
0.275,0.139,2249,Velocidad 1
0.27583,0.138,2255,Velocidad 1
0.27667,0.137,2261,Velocidad 1
0.2775,0.14,2267,Velocidad 1
0.27833,0.14,2273,Velocidad 1
0.27917,0.138,2279,Velocidad 1
0.28,0.142,2285,Velocidad 1
0.28083,0.141,2290,Velocidad 1
0.28167,0.142,2296,Velocidad 1
0.2825,0.14,2303,Velocidad 1
0.28333,0.141,2309,Velocidad 1
0.28417,0.14,2315,Velocidad 1
0.285,0.143,2320,Velocidad 1
0.28583,0.144,2324,Velocidad 1
0.28667,0.143,2330,Velocidad 1
0.2875,0.144,2337,Velocidad 1
0.28833,0.145,2342,Velocidad 1
0.28917,0.146,2346,Velocidad 1
0.29,0.145,2350,Velocidad 1
0.29083,0.145,2356,Velocidad 1
0.29167,0.146,2363,Velocidad 1
0.2925,0.148,2370,Velocidad 1
0.29333,0.148,2375,Velocidad 1
0.29417,0.146,2379,Velocidad 1
0.295,0.147,2383,Velocidad 1
0.29583,0.149,2387,Velocidad 1
0.29667,0.148,2392,Velocidad 1
0.2975,0.15,2398,Velocidad 1
0.29833,0.151,2405,Velocidad 1
0.29917,0.15,2409,Velocidad 1
0.3,0.151,2414,Velocidad 1
0.30083,0.151,2417,Velocidad 1
0.30167,0.151,2422,Velocidad 1
0.3025,0.152,2425,Velocidad 1
0.30333,0.151,2430,Velocidad 1
0.30417,0.15,2439,Velocidad 1
0.305,0.153,2446,Velocidad 1
0.30583,0.154,2452,Velocidad 1
0.30667,0.151,2457,Velocidad 1
0.3075,0.155,2460,Velocidad 1
0.30833,0.153,2464,Velocidad 1
0.30917,0.155,2469,Velocidad 1
0.31,0.156,2475,Velocidad 1
0.31083,0.154,2481,Velocidad 1
0.31167,0.154,2485,Velocidad 1
0.3125,0.157,2489,Velocidad 1
0.31333,0.157,2494,Velocidad 1
0.31417,0.158,2500,Velocidad 1
0.315,0.158,2505,Velocidad 1
0.31583,0.159,2511,Velocidad 1
0.31667,0.159,2516,Velocidad 1
0.3175,0.159,2518,Velocidad 1
0.31833,0.157,2521,Velocidad 1
0.31917,0.159,2524,Velocidad 1
0.32,0.159,2528,Velocidad 1
0.32083,0.159,2533,Velocidad 1
0.32167,0.16,2538,Velocidad 1
0.3225,0.162,2543,Velocidad 1
0.32333,0.162,2548,Velocidad 1
0.32417,0.163,2552,Velocidad 1
0.325,0.163,2557,Velocidad 1
0.32583,0.162,2561,Velocidad 1
0.32667,0.163,2564,Velocidad 1
0.3275,0.164,2569,Velocidad 1
0.32833,0.165,2574,Velocidad 1
0.32917,0.165,2577,Velocidad 1
0.33,0.164,2579,Velocidad 1
0.33083,0.165,2583,Velocidad 1
0.33167,0.167,2587,Velocidad 1
0.3325,0.164,2590,Velocidad 1
0.33333,0.166,2595,Velocidad 1
0.33417,0.169,2600,Velocidad 1
0.335,0.166,2603,Velocidad 1
0.33583,0.166,2606,Velocidad 1
0.33667,0.167,2610,Velocidad 1
0.3375,0.169,2613,Velocidad 1
0.33833,0.168,2614,Velocidad 1
0.33917,0.169,2618,Velocidad 1
0.34,0.171,2621,Velocidad 1
0.34083,0.172,2623,Velocidad 1
0.34167,0.17,2627,Velocidad 1
0.3425,0.17,2632,Velocidad 1
0.34333,0.173,2633,Velocidad 1
0.34417,0.172,2635,Velocidad 1
0.345,0.173,2638,Velocidad 1
0.34583,0.173,2641,Velocidad 1
0.34667,0.173,2643,Velocidad 1
0.3475,0.174,2644,Velocidad 1
0.34833,0.175,2646,Velocidad 1
0.34917,0.176,2646,Velocidad 1
0.35,0.176,2648,Velocidad 1
0.35083,0.175,2649,Velocidad 1
0.35167,0.177,2652,Velocidad 1
0.3525,0.175,2655,Velocidad 1
0.35333,0.176,2657,Velocidad 1
0.35417,0.176,2660,Velocidad 1
0.355,0.176,2662,Velocidad 1
0.35583,0.177,2663,Velocidad 1
0.35667,0.178,2666,Velocidad 1
0.3575,0.179,2668,Velocidad 1
0.35833,0.18,2668,Velocidad 1
0.35917,0.181,2669,Velocidad 1
0.36,0.18,2669,Velocidad 1
0.36083,0.181,2667,Velocidad 1
0.36167,0.179,2666,Velocidad 1
0.3625,0.18,2666,Velocidad 1
0.36333,0.182,2666,Velocidad 1
0.36417,0.182,2668,Velocidad 1
0.365,0.181,2670,Velocidad 1
0.36583,0.181,2670,Velocidad 1
0.36667,0.184,2672,Velocidad 1
0.3675,0.183,2673,Velocidad 1
0.36833,0.185,2675,Velocidad 1
0.36917,0.184,2678,Velocidad 1
0.37,0.184,2677,Velocidad 1
0.37083,0.185,2676,Velocidad 1
0.37167,0.187,2675,Velocidad 1
0.3725,0.185,2676,Velocidad 1
0.37333,0.186,2675,Velocidad 1
0.37417,0.188,2674,Velocidad 1
0.375,0.186,2674,Velocidad 1
0.37583,0.187,2674,Velocidad 1
0.37667,0.188,2674,Velocidad 1
0.3775,0.189,2673,Velocidad 1
0.37833,0.191,2671,Velocidad 1
0.37917,0.189,2669,Velocidad 1
0.38,0.189,2665,Velocidad 1
0.38083,0.19,2662,Velocidad 1
0.38167,0.189,2659,Velocidad 1
0.3825,0.192,2656,Velocidad 1
0.38333,0.189,2654,Velocidad 1
0.38417,0.192,2650,Velocidad 1
0.385,0.192,2648,Velocidad 1
0.38583,0.193,2646,Velocidad 1
0.38667,0.194,2641,Velocidad 1
0.3875,0.192,2637,Velocidad 1
0.38833,0.194,2634,Velocidad 1
0.38917,0.196,2631,Velocidad 1
0.39,0.195,2628,Velocidad 1
0.39083,0.197,2625,Velocidad 1
0.39167,0.196,2623,Velocidad 1
0.3925,0.197,2620,Velocidad 1
0.39333,0.197,2618,Velocidad 1
0.39417,0.199,2616,Velocidad 1
0.395,0.198,2613,Velocidad 1
0.39583,0.198,2607,Velocidad 1
0.39667,0.197,2603,Velocidad 1
0.3975,0.198,2599,Velocidad 1
0.39833,0.199,2595,Velocidad 1
0.39917,0.202,2591,Velocidad 1
0.4,0.198,2589,Velocidad 1
0.40083,0.201,2585,Velocidad 1
0.40167,0.2,2583,Velocidad 1
0.4025,0.199,2578,Velocidad 1
0.40333,0.2,2573,Velocidad 1
0.40417,0.203,2571,Velocidad 1
0.405,0.203,2566,Velocidad 1
0.40583,0.203,2561,Velocidad 1
0.40667,0.202,2558,Velocidad 1
0.4075,0.204,2556,Velocidad 1
0.40833,0.203,2551,Velocidad 1
0.40917,0.205,2547,Velocidad 1
0.41,0.204,2544,Velocidad 1
0.41083,0.205,2542,Velocidad 1
0.41167,0.206,2540,Velocidad 1
0.4125,0.207,2537,Velocidad 1
0.41333,0.206,2534,Velocidad 1
0.41417,0.205,2530,Velocidad 1
0.415,0.209,2525,Velocidad 1
0.41583,0.208,2519,Velocidad 1
0.41667,0.207,2513,Velocidad 1
0.4175,0.209,2511,Velocidad 1
0.41833,0.21,2513,Velocidad 1
0.41917,0.211,2511,Velocidad 1
0.42,0.209,2509,Velocidad 1
0.42083,0.211,2508,Velocidad 1
0.42167,0.211,2507,Velocidad 1
0.4225,0.21,2505,Velocidad 1
0.42333,0.212,2503,Velocidad 1
0.42417,0.213,2502,Velocidad 1
0.425,0.212,2500,Velocidad 1
0.42583,0.211,2496,Velocidad 1
0.42667,0.214,2493,Velocidad 1
0.4275,0.214,2491,Velocidad 1
0.42833,0.215,2488,Velocidad 1
0.42917,0.214,2485,Velocidad 1
0.43,0.215,2482,Velocidad 1
0.43083,0.214,2479,Velocidad 1
0.43167,0.216,2478,Velocidad 1
0.4325,0.217,2477,Velocidad 1
0.43333,0.216,2474,Velocidad 1
0.43417,0.219,2473,Velocidad 1
0.435,0.217,2473,Velocidad 1
0.43583,0.219,2473,Velocidad 1
0.43667,0.218,2472,Velocidad 1
0.4375,0.218,2469,Velocidad 1
0.43833,0.221,2465,Velocidad 1
0.43917,0.22,2461,Velocidad 1
0.44,0.219,2458,Velocidad 1
0.44083,0.221,2454,Velocidad 1
0.44167,0.22,2452,Velocidad 1
0.4425,0.221,2448,Velocidad 1
0.44333,0.222,2447,Velocidad 1
0.44417,0.223,2444,Velocidad 1
0.445,0.224,2443,Velocidad 1
0.44583,0.223,2443,Velocidad 1
0.44667,0.222,2443,Velocidad 1
0.4475,0.223,2442,Velocidad 1
0.44833,0.223,2442,Velocidad 1
0.44917,0.224,2441,Velocidad 1
0.45,0.226,2439,Velocidad 1
0.45083,0.226,2439,Velocidad 1
0.45167,0.225,2435,Velocidad 1
0.4525,0.227,2431,Velocidad 1
0.45333,0.227,2431,Velocidad 1
0.45417,0.227,2428,Velocidad 1
0.455,0.227,2426,Velocidad 1
0.45583,0.227,2424,Velocidad 1
0.45667,0.229,2423,Velocidad 1
0.4575,0.228,2424,Velocidad 1
0.45833,0.229,2425,Velocidad 1
0.45917,0.231,2425,Velocidad 1
0.46,0.229,2423,Velocidad 1
0.46083,0.228,2419,Velocidad 1
0.46167,0.23,2418,Velocidad 1
0.4625,0.233,2416,Velocidad 1
0.46333,0.232,2415,Velocidad 1
0.46417,0.233,2414,Velocidad 1
0.465,0.232,2412,Velocidad 1
0.46583,0.233,2410,Velocidad 1
0.46667,0.234,2410,Velocidad 1
0.4675,0.235,2410,Velocidad 1
0.46833,0.233,2408,Velocidad 1
0.46917,0.236,2407,Velocidad 1
0.47,0.237,2406,Velocidad 1
0.47083,0.234,2404,Velocidad 1
0.47167,0.237,2405,Velocidad 1
0.4725,0.235,2406,Velocidad 1
0.47333,0.238,2404,Velocidad 1
0.47417,0.238,2403,Velocidad 1
0.475,0.238,2400,Velocidad 1
0.47583,0.237,2398,Velocidad 1
0.47667,0.239,2398,Velocidad 1
0.4775,0.239,2397,Velocidad 1
0.47833,0.238,2394,Velocidad 1
0.47917,0.24,2394,Velocidad 1
0.48,0.241,2394,Velocidad 1
0.48083,0.242,2395,Velocidad 1
0.48167,0.24,2394,Velocidad 1
0.4825,0.24,2391,Velocidad 1
0.48333,0.243,2391,Velocidad 1
0.48417,0.244,2390,Velocidad 1
0.485,0.242,2386,Velocidad 1
0.48583,0.243,2383,Velocidad 1
0.48667,0.244,2381,Velocidad 1
0.4875,0.243,2381,Velocidad 1
0.48833,0.244,2382,Velocidad 1
0.48917,0.244,2382,Velocidad 1
0.49,0.246,2381,Velocidad 1
0.49083,0.244,2381,Velocidad 1
0.49167,0.248,2380,Velocidad 1
0.4925,0.245,2376,Velocidad 1
0.49333,0.246,2373,Velocidad 1
0.49417,0.246,2371,Velocidad 1
0.495,0.248,2371,Velocidad 1
0.49583,0.247,2372,Velocidad 1
0.49667,0.249,2373,Velocidad 1
0.4975,0.249,2374,Velocidad 1
0.49833,0.248,2373,Velocidad 1
0.49917,0.249,2373,Velocidad 1
0.5,0.25,2375,Velocidad 1
0.50083,0.249,2374,Velocidad 1
0.50167,0.251,2372,Velocidad 1
0.5025,0.25,2372,Velocidad 1
0.50333,0.251,2371,Velocidad 1
0.50417,0.253,2370,Velocidad 1
0.505,0.253,2369,Velocidad 1
0.50583,0.254,2366,Velocidad 1
0.50667,0.251,2363,Velocidad 1
0.5075,0.253,2360,Velocidad 1
0.50833,0.255,2360,Velocidad 1
0.50917,0.252,2360,Velocidad 1
0.51,0.255,2358,Velocidad 1
0.51083,0.256,2356,Velocidad 1
0.51167,0.256,2355,Velocidad 1
0.5125,0.257,2355,Velocidad 1
0.51333,0.257,2356,Velocidad 1
0.51417,0.259,2359,Velocidad 1
0.515,0.258,2360,Velocidad 1
0.51583,0.259,2358,Velocidad 1
0.51667,0.258,2354,Velocidad 1
0.5175,0.26,2354,Velocidad 1
0.51833,0.258,2354,Velocidad 1
0.51917,0.261,2354,Velocidad 1
0.52,0.261,2354,Velocidad 1
0.52083,0.262,2351,Velocidad 1
0.52167,0.262,2348,Velocidad 1
0.5225,0.262,2347,Velocidad 1
0.52333,0.26,2346,Velocidad 1
0.52417,0.261,2344,Velocidad 1
0.525,0.264,2346,Velocidad 1
0.52583,0.262,2346,Velocidad 1
0.52667,0.262,2344,Velocidad 1
0.5275,0.264,2345,Velocidad 1
0.52833,0.265,2346,Velocidad 1
0.52917,0.263,2346,Velocidad 1
0.53,0.264,2345,Velocidad 1
0.53083,0.264,2344,Velocidad 1
0.53167,0.267,2343,Velocidad 1
0.5325,0.267,2342,Velocidad 1
0.53333,0.267,2342,Velocidad 1
0.53417,0.268,2341,Velocidad 1
0.535,0.267,2340,Velocidad 1
0.53583,0.269,2337,Velocidad 1
0.53667,0.27,2337,Velocidad 1
0.5375,0.269,2336,Velocidad 1
0.53833,0.27,2336,Velocidad 1
0.53917,0.271,2336,Velocidad 1
0.54,0.271,2338,Velocidad 1
0.54083,0.268,2337,Velocidad 1
0.54167,0.272,2334,Velocidad 1
0.5425,0.272,2331,Velocidad 1
0.54333,0.27,2330,Velocidad 1
0.54417,0.271,2330,Velocidad 1
0.545,0.272,2332,Velocidad 1
0.54583,0.274,2334,Velocidad 1
0.54667,0.272,2334,Velocidad 1
0.5475,0.273,2333,Velocidad 1
0.54833,0.273,2334,Velocidad 1
0.54917,0.276,2335,Velocidad 1
0.55,0.275,2335,Velocidad 1
0.55083,0.275,2335,Velocidad 1
0.55167,0.276,2333,Velocidad 1
0.5525,0.277,2330,Velocidad 1
0.55333,0.278,2330,Velocidad 1
0.55417,0.275,2329,Velocidad 1
0.555,0.276,2328,Velocidad 1
0.55583,0.278,2327,Velocidad 1
0.55667,0.279,2328,Velocidad 1
0.5575,0.279,2326,Velocidad 1
0.55833,0.279,2325,Velocidad 1
0.55917,0.279,2325,Velocidad 1
0.56,0.281,2325,Velocidad 1
0.56083,0.279,2324,Velocidad 1
0.56167,0.28,2323,Velocidad 1
0.5625,0.281,2322,Velocidad 1
0.56333,0.283,2323,Velocidad 1
0.56417,0.283,2323,Velocidad 1
0.565,0.282,2324,Velocidad 1
0.56583,0.285,2324,Velocidad 1
0.56667,0.283,2324,Velocidad 1
0.5675,0.282,2321,Velocidad 1
0.56833,0.284,2318,Velocidad 1
0.56917,0.284,2315,Velocidad 1
0.57,0.284,2315,Velocidad 1
0.57083,0.284,2314,Velocidad 1
0.57167,0.286,2313,Velocidad 1
0.5725,0.287,2311,Velocidad 1
0.57333,0.287,2312,Velocidad 1
0.57417,0.286,2312,Velocidad 1
0.575,0.287,2310,Velocidad 1
0.57583,0.287,2306,Velocidad 1
0.57667,0.289,2305,Velocidad 1
0.5775,0.287,2305,Velocidad 1
0.57833,0.29,2306,Velocidad 1
0.57917,0.29,2307,Velocidad 1
0.58,0.291,2307,Velocidad 1
0.58083,0.291,2307,Velocidad 1
0.58167,0.29,2308,Velocidad 1
0.5825,0.29,2308,Velocidad 1
0.58333,0.293,2308,Velocidad 1
0.58417,0.293,2309,Velocidad 1
0.585,0.291,2307,Velocidad 1
0.58583,0.293,2304,Velocidad 1
0.58667,0.294,2304,Velocidad 1
0.5875,0.294,2304,Velocidad 1
0.58833,0.293,2303,Velocidad 1
